,title,genres,overview,production_companies,original_language,status,averageRating,numVotes,combined_features,index
10,richard iii,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",Shakespeare's Play transplanted into a 1930s setting.,"[{'name': 'British Screen', 'id': 871}, {'name': 'Mayfair Entertainment International', 'id': 34237}]",en,Released,7.4,13588.0,richard iii drama war drama war shakespeares play transplanted into a s setting british screen mayfair entertainment international en en en,10
11,se7en,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Juno Pix', 'id': 4286}, {'name': 'Cecchi Gori Pictures', 'id': 65394}]",en,Released,8.6,1407054.0,"seen crime mystery thriller crime mystery thriller two homice detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next the seasoned det sommerset researches each sin in an effort to get inse the killers mind while his novice partner mills scoffs at his efforts to unravel the case new line cinema juno pix cecchi gori pictures en en en",11
12,the usual suspects,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","[{'name': 'Blue Parrot Productions', 'id': 361}, {'name': 'Bad Hat Harry Productions', 'id': 9168}]",en,Released,8.5,971658.0,the usual suspects drama crime thriller drama crime thriller held in an la interrogation room verbal kint attempts to convince the feds that a mythic crime lord keyser soze not only exists but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in san pedro harbor – leaving few survivors verbal lures his interrogators with an incredible story of the crime lords almost supernatural prowess blue parrot productions bad hat harry productions en en en,12
13,the postman,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,[],it,Released,7.7,32933.0,the postman comedy drama romance comedy drama romance simple italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty beatrice it it it,13
14,mr. holland's opus,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'The Charlie Mopic Company', 'id': 916}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Interscope Communications', 'id': 10201}]",en,Released,7.3,35048.0,mr hollands opus music drama family music drama family in passionate musician glenn holland takes a day job as a high school music teacher convinced its just a small obstacle on the road to his true calling writing a historic opus as the decades roll by with the composition unwritten but generations of students inspired through his teaching holland must redefine his lifes purpose hollywood pictures the charlie mopic company polygram filmed entertainment interscope communications en en en,14
15,friday,"[{'id': 35, 'name': 'Comedy'}]","Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","[{'name': 'New Line Cinema', 'id': 12}]",en,Released,7.3,97977.0,fray comedy comedy craig and smokey are two guys in los angeles hanging out on their porch on a fray afternoon smoking and drinking looking for something to do new line cinema en en en,15
16,from dusk till dawn,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","[{'name': 'A Band Apart', 'id': 59}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Los Hooligans Productions', 'id': 11705}, {'name': 'Miramax', 'id': 53009}]",en,Released,7.2,281838.0,from dusk till dawn horror action thriller crime horror action thriller crime seth gecko and his younger brother richard are on the run after a bloody bank robbery in texas they escape across the border into mexico and will be home-free the next morning when they pay off the local kingpin they just have to survive from dusk till dawn at the rendezvous point which turns out to be a hell of a strip joint a band apart dimension films los hooligans productions miramax en en en,16
17,beautiful girls,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","During a snowy winter in the small fictional town of Knight""s Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.","[{'name': 'Miramax Films', 'id': 14}, {'name': 'Woods Entertainment', 'id': 979}]",en,Released,7.1,30948.0,"beautiful girls comedy drama romance comedy drama romance during a snowy winter in the small fictional town of knight""s rge massachusetts a group of lifelong buddies hang out drink and struggle to connect with the women who affect their decisions dreams and desires miramax films woods entertainment en en en",17
18,the bridges of madison county,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",en,Released,7.6,71417.0,the brges of madison county drama romance drama romance photographer robert kinca wanders into the life of housewife francesca johnson for four days in the s amblin entertainment malpaso productions warner bros en en en,18
19,braveheart,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'The Ladd Company', 'id': 7965}, {'name': 'B.H. Finance C.V.', 'id': 11353}]",en,Released,8.3,943682.0,braveheart action drama history war action drama history war enraged at the slaughter of murron his new bre and childhood love scottish warrior william wallace slays a platoon of the local english lords soldiers this leads the village to revolt and eventually the entire country to rise up against english rule icon entertainment international the ladd company bh finance cv en en en,19
20,taxi driver,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.","[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Italo/Judeo Productions', 'id': 46059}, {'name': 'Bill/Phillips', 'id': 46060}]",en,Released,8.3,705947.0,taxi driver crime drama crime drama a mentally unstable vietnam war veteran works as a night-time taxi driver in new york city where the perceived decadence and sleaze feeds his urge for violent action attempting to save a preadolescent prostitute in the process columbia pictures corporation italo/judeo productions bill/phillips en en en,20
21,the birdcage,"[{'id': 35, 'name': 'Comedy'}]",A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's right-wing moralistic parents.,"[{'name': 'United Artists', 'id': 60}]",en,Released,7.1,78450.0,the birdcage comedy comedy a gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancés right-wing moralistic parents united artists en en en,21
22,the basketball diaries,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction.,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Island Pictures', 'id': 3492}]",en,Released,7.3,100131.0,the basketball diaries drama crime drama crime film adaptation of street tough jim carrolls epistle about his kaleoscopic free fall into the harrowing world of drug addiction new line cinema island pictures en en en,22
23,apollo 13,"[{'id': 18, 'name': 'Drama'}]","The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]",en,Released,7.6,262836.0,apollo drama drama the true story of technical troubles that scuttle the apollo lunar mission in risking the lives of astronaut jim lovell and his crew with the failed journey turning into a thrilling saga of heroism drifting more than miles from earth the astronauts work furiously with the ground crew to avert tragedy imagine entertainment universal pictures en en en,23
24,crimson tide,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.","[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]",en,Released,7.3,99547.0,crimson te action thriller drama action thriller drama on a us nuclear missile sub a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so hollywood pictures don simpson/jerry bruckheimer films en en en,24
25,crumb,"[{'id': 99, 'name': 'Documentary'}]","This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.","[{'name': 'Superior Pictures', 'id': 4532}]",en,Released,8.0,18217.0,crumb documentary documentary this movie chronicles the life and times of r crumb robert crumb is the cartoonist/artist who drew keep on truckin fritz the cat and played a major pioneering role in the genesis of underground comix through interviews with his mother two brothers wife and ex-girlfriends as well as selections from his vast quantity of graphic art we are treated to a darkly comic re through one mans subconscious mind superior pictures en en en,25
26,desperado,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",A gunslinger is embroiled in a war with a local drug runner.,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Los Hooligans Productions', 'id': 11705}]",en,Released,7.2,169053.0,desperado thriller action crime thriller action crime a gunslinger is embroiled in a war with a local drug runner columbia pictures los hooligans productions en en en,26
27,die hard: with a vengeance,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",en,Released,7.6,357897.0,"die hard with a vengeance action thriller action thriller new york detective john mcclane is back and kicking bad-guy butt in the third installment of this action-packed series which finds him teaming with civilian zeus carver to prevent the loss of innocent lives mcclane thought hed seen it all until a genius named simon engages mcclane his new ""partner"" and his beloved city in a deadly game that demands their concentration twentieth century fox film corporation cinergi pictures entertainment en en en",27
28,kids,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","A controversial portrayal of teens in New York City which exposes a deeply disturbing world of sex and substance abuse. The film focuses on a sexually reckless, freckle-faced boy named Telly, whose goal is to have sex with as many different girls as he can. When Jenny, a girl who has had sex only once, tests positive for HIV, she knows she contracted the disease from Telly. When Jenny discovers that Telly's idea of ""safe sex"" is to only have sex with virgins, and is continuing to pass the disease onto other unsuspecting girls, Jenny makes it her business to try to stop him.","[{'name': 'Miramax Films', 'id': 14}]",en,Released,7.1,71899.0,"ks drama crime drama crime a controversial portrayal of teens in new york city which exposes a deeply disturbing world of sex and substance abuse the film focuses on a sexually reckless freckle-faced boy named telly whose goal is to have sex with as many different girls as he can when jenny a girl who has had sex only once tests positive for hiv she knows she contracted the disease from telly when jenny discovers that tellys ea of ""safe sex"" is to only have sex with virgins and is continuing to pass the disease onto other unsuspecting girls jenny makes it her business to try to stop him miramax films en en en",28
29,living in oblivion,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.,"[{'name': 'JDI productions', 'id': 13187}, {'name': 'Lemon Sky Productions', 'id': 13190}]",en,Released,7.5,16132.0,living in oblivion drama comedy drama comedy film about filmmaking it takes place during one day on set of non-budget movie ultimate tribute to all independent filmmakers jdi productions lemon sky productions en en en,29
30,mallrats,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]","Both dumped by their girlfriends, two best friends seek refuge in the local mall.","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gramercy Pictures', 'id': 37}, {'name': 'Alphaville Films', 'id': 11462}, {'name': 'View Askew Productions', 'id': 16934}]",en,Released,7.1,114685.0,mallrats romance comedy romance comedy both dumped by their girlfriends two best friends seek refuge in the local mall universal pictures gramercy pictures alphaville films view askew productions en en en,30
31,safe,"[{'id': 18, 'name': 'Drama'}]","Carol, a typical upper middle-class housewife, begins to complain of vague symptoms of illness. She ""doesn't feel right,"" has unexplained headaches, congestion, a dry cough, nosebleeds, vomiting, and trouble breathing. Her family doctor treats her concerns dismissively and suggests a psychiatrist. Eventually, an allergist tells her that she has Environmental Illness.","[{'name': 'Killer Films', 'id': 1422}, {'name': 'American Playhouse', 'id': 3906}, {'name': 'Kardana Films', 'id': 38692}, {'name': 'Chemical Films', 'id': 39861}]",en,Released,7.2,13054.0,"safe drama drama carol a typical upper mdle-class housewife begins to complain of vague symptoms of illness she ""doesnt feel right"" has unexplained headaches congestion a dry cough nosebleeds vomiting and trouble breathing her family doctor treats her concerns dismissively and suggests a psychiatrist eventually an allergist tells her that she has environmental illness killer films american playhouse kardana films chemical films en en en",31
32,smoke,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.","[{'name': 'Miramax Films', 'id': 14}]",en,Released,7.4,32641.0,smoke comedy drama comedy drama writer paul benjamin is nearly hit by a bus when he leaves auggie wrens smoke shop stranger rash cole saves his life and soon mdle-aged paul tells homeless rash that he wouldnt mind a short-term housemate still grieving over his wifes murder paul is moved by both rashs quest to reconnect with his father and auggies discovery that a woman who might be his daughter is about to give birth miramax films en en en,32
33,strange days,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?","[{'name': 'Lightstorm Entertainment', 'id': 574}]",en,Released,7.2,66157.0,strange days crime drama science fiction thriller crime drama science fiction thriller set in the year during the last days of the old millennium the movie tells the story of lenny nero an ex-cop who now deals with data-discs containing recorded memories and emotions one day he receives a disc which contains the memories of a murderer killing a prostitute lenny investigates and is pulled deeper and deeper in a whirl of blackmail murder and rape will he survive and solve the case? lightstorm entertainment en en en,33
34,burnt by the sun,"[{'id': 18, 'name': 'Drama'}]","Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his dacha with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...","[{'name': 'Canal+', 'id': 5358}, {'name': 'Studio Trite', 'id': 6453}, {'name': 'Caméra One', 'id': 6454}]",ru,Released,7.9,14076.0,burnt by the sun drama drama russia revolutionary hero colonel kotov is spending an yllic summer in his dacha with his young wife and six-year-old daughter nadia and other assorted family and friends things change dramatically with the unheralded arrival of cousin dmitri from moscow who charms the women and little nadia with his games and pianistic bravura but kotov isnt fooled this is the time of stalins repression with telephone calls in the mdle of the night spelling doom - and he knows that dmitri isnt paying a social call canal+ studio trite caméra one ru ru ru,34
35,before the rain,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]","The circularity of violence seen in a story that circles on itself. In Macedonia, during war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A young monk who's taken a vow of silence offers her protection. In London, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant.","[{'name': 'PolyGram Audiovisuel', 'id': 6367}, {'name': 'British Screen Productions', 'id': 12745}]",en,Released,8.0,13622.0,before the rain drama war drama war the circularity of violence seen in a story that circles on itself in macedonia during war in bosnia christians hunt an ethnic albanian girl who may have murdered one of their own a young monk whos taken a vow of silence offers her protection in london a photographic editor whos pregnant needs to talk it out with her estranged husband and chooses a toney restaurant polygram audiovisuel british screen productions en en en,35
36,before sunrise,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.","[{'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Bros.', 'id': 6194}]",en,Released,8.1,264082.0,before sunrise drama romance drama romance a dialogue marathon of a film this fairytale love story of an american boy and french girl during a day and a night together in vienna their two hearts colle detour film production warner bros en en en,36
37,clerks,"[{'id': 35, 'name': 'Comedy'}]","Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.","[{'name': 'Miramax Films', 'id': 14}, {'name': 'View Askew Productions', 'id': 16934}]",en,Released,7.7,209504.0,clerks comedy comedy convenience and veo store clerks dante and randal are sharp-witted potty-mouthed and bored out of their minds so in between needling customers the counter jockeys play hockey on the roof visit a funeral home and deal with their love lives miramax films view askew productions en en en,37
38,death and the maiden,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",A political activist is convinced that her guest is a man who once tortured her for the government.,"[{'name': 'Fine Line Features', 'id': 8}, {'name': 'Channel Four Films', 'id': 181}, {'name': 'Capitol Films', 'id': 826}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'Flach Film', 'id': 8277}, {'name': ""Les Films de l'Astre"", 'id': 68141}]",en,Released,7.3,22140.0,"death and the maen drama thriller mystery drama thriller mystery a political activist is convinced that her guest is a man who once tortured her for the government fine line features channel four films capitol films tf films production canal+ flach film ""les films de lastre"" en en en",38
39,dolores claiborne,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.","[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Columbia Pictures Corporation', 'id': 441}]",en,Released,7.4,38170.0,dolores claiborne crime drama mystery crime drama mystery dolores claiborne was accused of killing her abusive husband twenty years ago but the courts findings were inconclusive and she was allowed to walk free now she has been accused of killing her employer vera donovan and this time there is a witness who can place her at the scene of the crime things look bad for dolores when her daughter selena a successful manhattan magazine writer returns to cover the story castle rock entertainment columbia pictures corporation en en en,39
40,dumb and dumber,"[{'id': 35, 'name': 'Comedy'}]","Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.","[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Motion Picture Corporation of America (MPCA)', 'id': 11061}]",en,Released,7.3,348073.0,"dumb and dumber comedy comedy lloyd and harry are two men whose stupity is really indescribable when mary a beautiful woman loses an important suitcase with money before she leaves for aspen the two friends (who have found the suitcase) dece to return it to her after some ""adventures"" they finally get to aspen where using the lost money they live it up and fight for marys heart new line cinema motion picture corporation of america (mpca) en en en",40
