Index,Id,Title,Year,Rated,Runtime,Director,Writer,Actors,Plot,imdbRating,imdbVotes
14,14,Nixon,1995,R,192 min,Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone","Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris","A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",7.1,25450
15,15,Cutthroat Island,1995,PG-13,124 min,Renny Harlin,"Michael Frost Beckner (story), James Gorman (story), Bruce A. Evans (story), Raynold Gideon (story), Robert King (screenplay), Marc Norman (screenplay)","Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,5.6,22628
16,16,Casino,1995,R,178 min,Martin Scorsese,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Sharon Stone, Joe Pesci, James Woods","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire and over a fast living and fast loving socialite.",8.2,370085
17,17,Sense and Sensibility,1995,PG,136 min,Ang Lee,"Jane Austen (novel), Emma Thompson (screenplay)","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",7.7,84563
18,18,Four Rooms,1995,R,98 min,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",Four interlocking tales that take place in a fading hotel on New Year's Eve.,6.7,83884
19,19,Ace Ventura: When Nature Calls,1995,PG-13,90 min,Steve Oedekerk,"Jack Bernstein (characters), Steve Oedekerk","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",6.3,172965
20,20,Money Train,1995,R,110 min,Joseph Ruben,"Doug Richardson (story), Doug Richardson (screenplay), David Loughery (screenplay)","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",5.6,34129
21,21,Get Shorty,1995,R,105 min,Barry Sonnenfeld,"Elmore Leonard (novel), Scott Frank (screenplay)","John Travolta, Gene Hackman, Rene Russo, Danny DeVito",A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,6.9,66654
22,22,Copycat,1995,R,123 min,Jon Amiel,"Ann Biderman, David Madsen","Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,6.6,45327
23,23,Assassins,1995,R,132 min,Richard Donner,"Lilly Wachowski (story), Lana Wachowski (story), Lilly Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay)","Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,6.3,67742
24,24,Powder,1995,PG-13,111 min,Victor Salva,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,6.6,25712
25,25,Leaving Las Vegas,1995,R,111 min,Mike Figgis,"John O'Brien (based upon the novel by), Mike Figgis (screenplay by)","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",7.6,99664
26,26,Othello,1995,R,123 min,Oliver Parker,"Oliver Parker (adaptation), William Shakespeare (play)","Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,6.9,7935
27,27,Now and Then,1995,PG-13,100 min,Lesli Linka Glatter,I. Marlene King,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,6.8,22703
28,28,Persuasion,1995,PG,107 min,Roger Michell,"Jane Austen (novel), Nick Dear (screenplay)","Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",7.7,8758
29,29,The City of Lost Children,1995,R,112 min,"Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet, Marc Caro, Gilles Adrien (dialogue), Guillaume Laurant (additional dialogue), Jean-Pierre Jeunet (additional dialogue)","Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",7.7,58573
30,30,Shanghai Triad,1995,R,108 min,Yimou Zhang,"Bi Feiyu, Li Xiao (novel)","Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,7.2,4443
31,31,Dangerous Minds,1995,R,99 min,John N. Smith,"LouAnne Johnson (book), Ronald Bass (screenplay)","Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",An ex-Marine turned teacher struggles to connect with her students in an inner city school.,6.4,41175
32,32,Twelve Monkeys,1995,R,129 min,Terry Gilliam,"Chris Marker (film La Jetée), David Webb Peoples (screenplay), Janet Peoples (screenplay)","Joseph Melito, Bruce Willis, Jon Seda, Michael Chance","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",8,502942
33,34,Babe,1995,G,91 min,Chris Noonan,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving","Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",6.8,100790
34,35,Carrington,1995,R,121 min,Christopher Hampton,"Christopher Hampton, Michael Holroyd (book)","Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West",The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,6.9,4620
35,36,Dead Man Walking,1995,R,122 min,Tim Robbins,"Helen Prejean (book), Tim Robbins","Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",7.6,77443
36,37,Across the Sea of Time,1995,G,51 min,Stephen Low,Andrew Gellis,"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",6.4,215
37,38,It Takes Two,1995,PG,101 min,Andy Tennant,Deborah Dean Davis,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen","Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",5.8,16232
38,39,Clueless,1995,PG-13,97 min,Amy Heckerling,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",6.8,137414
39,40,"Cry, the Beloved Country",1995,PG-13,106 min,Darrell Roodt,"Ronald Harwood (screenplay), Alan Paton (novel)","James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",6.9,1517
40,41,Richard III,1995,R,110 min,Richard Loncraine,"William Shakespeare (play), Ian McKellen, Richard Loncraine","Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson",The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,7.5,12254
41,42,Dead Presidents,1995,R,119 min,"Albert Hughes, Allen Hughes","Allen Hughes (story), Albert Hughes (story), Michael Henry Brown (story), Michael Henry Brown (screenplay), Wallace Terry (story ""Specialist No.4 Haywood T. 'The Kid' Kirkland"")","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",6.8,16434
42,43,Restoration,1995,R,117 min,Michael Hoffman,"Rose Tremain (novel), Rupert Walters (screenplay)","Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker","The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",6.7,7903
43,44,Mortal Kombat,1995,PG-13,101 min,Paul W.S. Anderson,"Ed Boon (video games), John Tobias (video games), Kevin Droney","Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,5.8,87371
44,45,To Die For,1995,R,106 min,Gus Van Sant,"Joyce Maynard (book), Buck Henry (screenplay)","Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,6.8,37173
45,46,How to Make an American Quilt,1995,PG-13,117 min,Jocelyn Moorhouse,"Whitney Otto (novel), Jane Anderson (screenplay)","Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,6.2,9167
46,47,Se7en,1995,R,127 min,David Fincher,Andrew Kevin Walker,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6,1140943
47,48,Pocahontas,1995,G,81 min,"Mike Gabriel, Eric Goldberg","Carl Binder, Susannah Grant, Philip LaZebnik, Glen Keane (story), Joe Grant (story), Ralph Zondag (story), Burny Mattinson (story), Ed Gombert (story), Kaan Kalyon (story), Francis Glebas (story), Rob Gibbs (story), Bruce Morris (story), Todd Kurosawa (story), Duncan Marjoribanks (story), Chris Buck (story), Mike Gabriel (based on an idea by), Andrew Chapman (additional story development), Randy Cartwright (additional story development), Will Finn (additional story development), Broose Johnson (additional story development), T. Daniel Hofstedt (additional story development), David Pruiksma (additional story development), Nik Ranieri (additional story development), Vincent DeFrances (additional story development), Tom Mazzocco (additional story development), Don Dougherty (additional story development), Jorgen Klubien (additional story development)","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,6.7,134768
48,49,When Night Is Falling,1995,R,94 min,Patricia Rozema,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox","An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",6.7,5707
49,50,The Usual Suspects,1995,R,106 min,Bryan Singer,Christopher McQuarrie,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",8.6,816926
50,52,Mighty Aphrodite,1995,R,95 min,Woody Allen,Woody Allen,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",7.1,33856
51,53,Lamerica,1994,N/A,116 min,Gianni Amelio,"Gianni Amelio, Andrea Porporati, Alessandro Sermoneta","Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli",Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,7.6,1807
52,54,The Big Green,1995,PG,100 min,Holly Goldberg Sloan,Holly Goldberg Sloan,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry","A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.",5.5,7497
53,55,Georgia,1995,R,115 min,Ulu Grosbard,Barbara Turner,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich","Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...",6.5,2513
54,57,Home for the Holidays,1995,PG-13,103 min,Jodie Foster,"Chris Radant (short story), W.D. Richter (screenplay)","Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning","After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",6.6,9585
55,58,Il Postino,1994,PG,108 min,"Michael Radford, Massimo Troisi","Antonio Skármeta (novel), Furio Scarpelli (story), Giacomo Scarpelli (story), Anna Pavignano (screenplay), Michael Radford (screenplay), Furio Scarpelli (screenplay), Giacomo Scarpelli (screenplay), Massimo Troisi (screenplay)","Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,7.7,28100
56,59,The Confessional,1995,NOT RATED,100 min,Robert Lepage,Robert Lepage,"Lothaire Bluteau, Patrick Goyette, Jean-Louis Millette, Kristin Scott Thomas","The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...",7.6,1394
57,60,The Indian in the Cupboard,1995,PG,96 min,Frank Oz,"Lynne Reid Banks (novel), Melissa Mathison (screenplay)","Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...,5.9,22099
58,61,Eye for an Eye,1996,R,101 min,John Schlesinger,"Erika Holzer (novel), Amanda Silver (screenplay), Rick Jaffa (screenplay)","Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",6.1,11030
59,62,Mr. Holland's Opus,1995,PG,143 min,Stephen Herek,Patrick Sheane Duncan,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",A frustrated composer finds fulfillment as a high school music teacher.,7.3,31668
60,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,R,89 min,Paris Barclay,"Shawn Wayans, Marlon Wayans, Phil Beauman","Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer","""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""...",6.6,41064
61,64,Two If by Sea,1996,R,96 min,Bill Bennett,"Denis Leary (story), Mike Armstrong (story), Ann Lembeck (story), Denis Leary (screenplay), Mike Armstrong (screenplay)","Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...",5.2,4775
62,65,Bio-Dome,1996,PG-13,88 min,Jason Bloom,"Adam Leff (story), Mitchell Peck (story), Jason Blumenthal (story), Kip Koenig (screenplay), Scott Marcano (screenplay)","William Atherton, Denise Dowse, Dara Tomanovich, Kevin West","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",4.4,22733
63,66,Lawnmower Man 2: Beyond Cyberspace,1996,PG-13,93 min,Farhad Mann,"Farhad Mann (story), Michael Miner (story), Farhad Mann (screenplay)","Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",2.4,8304
64,68,French Twist,1995,R,104 min,Josiane Balasko,"Patrick Aubrée, Josiane Balasko, Telsche Boorman (story)","Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",6.4,3945
65,69,Friday,1995,R,91 min,F. Gary Gray,"Ice Cube, DJ Pooh","Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister","Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night.",7.3,82716
66,70,From Dusk Till Dawn,1996,R,108 min,Robert Rodriguez,"Robert Kurtzman (story), Quentin Tarantino (screenplay)","George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis","Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.",7.3,237891
67,71,Fair Game,1995,R,91 min,Andrew Sipes,"Paula Gosling (novel), Charlie Fletcher (screenplay)","William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",4.1,10665
68,72,Kicking and Screaming,1995,R,96 min,Noah Baumbach,"Noah Baumbach (story), Oliver Berkman (story), Noah Baumbach","Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach","After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all...",7,7698
69,73,Les Misérables,1995,R,175 min,Claude Lelouch,"Victor Hugo (novel), Claude Lelouch","Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch",A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,7.5,3304
70,74,Bed of Roses,1996,PG,87 min,Michael Goldenberg,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin","Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",6.1,7170
71,76,Screamers,1995,R,108 min,Christian Duguay,"Philip K. Dick (short story ""Second Variety""), Dan O'Bannon (screenplay), Miguel Tejada-Flores (screenplay)","Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",6.4,21579
72,77,Nico Icon,1995,N/A,67 min,Susanne Ofteringer,Susanne Ofteringer (screenplay),"Nico, Tina Aumont, Christian Päffgen, Edith Boulogne","A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...",7.3,570
73,78,The Crossing Guard,1995,R,111 min,Sean Penn,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright",Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,6.3,11306
74,79,The Juror,1996,R,118 min,Brian Gibson,"George Dawes Green (novel), Ted Tally (screenplay)","Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini","When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as ""The Teacher"" to persuade the other jurors to vote ""not guilty"". He threatens to kill her son...",5.6,14792
75,80,The White Balloon,1995,UNRATED,85 min,Jafar Panahi,"Abbas Kiarostami, Jafar Panahi (original idea), Parviz Shahbazi (original idea)","Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy, Anna Borkowska",Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,7.8,5231
76,81,Things to Do in Denver When You're Dead,1995,R,115 min,Gary Fleder,Scott Rosenberg,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn",Five different criminals face imminent death after botching a job quite badly.,6.8,23352
77,82,Antonia's Line,1995,R,102 min,Marleen Gorris,Marleen Gorris,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop","A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",7.5,7199
78,83,Once Upon a Time... When We Were Colored,1995,PG,115 min,Tim Reid,"Clifton L. Taulbert (book), Paul W. Cooper (screenplay)","Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly",A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,7.2,426
79,84,Last Summer in the Hamptons,1995,R,108 min,Henry Jaglom,"Henry Jaglom, Victoria Foyt","Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher","Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the ...",6.1,308
80,85,Angels and Insects,1995,R,116 min,Philip Haas,"A.S. Byatt (novel), Belinda Haas (screenplay), Philip Haas (screenplay)","Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp",In the 1800s a naturalist marries into a family of British country gentry.,7,4086
81,86,White Squall,1996,PG-13,129 min,Ridley Scott,"Charles Gieg Jr. (book), Felix Sutton (book), Todd Robinson","Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,6.6,18865
82,87,Dunston Checks In,1996,PG,88 min,Ken Kwapis,"John Hopkins (story), John Hopkins (screenplay), Bruce Graham (screenplay)","Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett",A young boy befriends a larcenous orangutan in a luxury hotel.,5.3,10394
83,88,Black Sheep,1996,PG-13,87 min,Penelope Spheeris,Fred Wolf,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole",A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,6.2,31670
84,89,Nick of Time,1995,R,90 min,John Badham,Patrick Sheane Duncan,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken","An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",6.3,34528
85,92,Mary Reilly,1996,R,108 min,Stephen Frears,"Valerie Martin (novel), Christopher Hampton (screenplay)","Julia Roberts, John Malkovich, George Cole, Michael Gambon","A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",5.8,12483
86,93,Vampire in Brooklyn,1995,R,100 min,Wes Craven,"Eddie Murphy (story), Vernon Lynch (story), Charlie Murphy (story), Charlie Murphy (screenplay), Michael Lucker (screenplay), Chris Parker (screenplay)","Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison","Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ...",4.5,18448
87,94,Beautiful Girls,1996,R,112 min,Ted Demme,Scott Rosenberg,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,7.2,27904
